timestamp;mmsi;lon;lat;sog;cog;navStat;posAcc;raim;heading;timestampSeconds
2018-03-17T08:11:59.333Z;230065310;23.693223333333332;64.221105;0.0;270.0;0;0;0;319;58
2018-03-17T08:11:59.332Z;230052840;28.385625;61.60537333333333;3.8;3.1;3;0;0;1;58
2018-03-17T08:12:05.869Z;230070870;24.514598333333332;65.66498166666666;0.0;293.4;0;0;0;255;3
2018-03-17T08:11:59.331Z;230115340;21.464231666666667;61.59413333333334;0.0;194.2;15;0;0;260;58
2018-03-17T08:11:59.279Z;265067000;21.62282;65.1563;0.0;64.2;2;0;0;252;55
2018-03-17T08:12:02.667Z;230202000;22.773765;64.43428166666666;9.3;32.8;0;0;0;32;36
2018-03-17T08:12:02.714Z;244850612;22.75341;64.41538833333333;9.9;207.1;0;0;0;206;1
2018-03-17T08:12:01.688Z;230984090;21.447508333333335;61.130845;0.0;350.1;5;0;0;310;58
2018-03-17T08:12:02.683Z;236029000;21.243783333333333;63.12263333333333;6.4;252.7;0;0;0;259;58
2018-03-17T08:11:59.267Z;306051000;19.2225;62.49766666666667;12.4;2.9;0;0;0;6;55
2018-03-17T08:11:04.790Z;230601000;24.158489999999997;65.75188;0.0;353.8;5;0;0;151;3
2018-03-17T08:11:52.057Z;636091859;24.404661666666666;64.66029999999999;0.0;28.7;5;0;0;307;50
2018-03-17T08:11:08.859Z;305733000;20.384490000000003;63.29674;9.2;221.8;0;0;0;222;7
2018-03-17T08:11:59.286Z;305961000;19.675283333333333;62.82063333333333;10.9;49.5;0;0;0;49;53
2018-03-17T08:12:02.680Z;538090507;21.550693333333335;63.749903333333336;7.6;227.8;0;0;0;225;0
2018-03-17T08:13:02.039Z;230662000;20.083476666666666;63.087005;10.6;212.3;0;0;0;214;59
2018-03-17T08:12:59.805Z;246798000;24.614583333333332;65.68926666666667;0.1;14.0;0;0;0;284;54
2018-03-17T08:12:58.942Z;236611000;22.734841666666668;64.40138666666667;9.2;203.3;0;0;0;203;55
2018-03-17T08:13:02.887Z;230025040;21.448855;61.13222833333334;0.0;136.0;0;0;0;308;59
2018-03-17T08:13:05.355Z;230252000;22.526571666666666;64.23503666666666;9.0;24.7;0;0;0;26;3
2018-03-17T08:13:05.266Z;230003110;24.40648;64.66636;0.0;321.7;0;0;0;511;0
2018-03-17T08:12:26.994Z;244850226;21.45365;61.126999999999995;0.0;30.3;5;0;0;248;23
2018-03-17T08:13:02.913Z;212409000;21.28515666666667;63.12860666666666;12.1;72.4;0;0;0;76;59
2018-03-17T08:13:05.998Z;230981750;21.571703333333335;63.08090333333334;0.2;345.6;0;0;0;24;3
2018-03-17T08:13:05.397Z;230980260;24.415830000000003;64.65943;0.0;0.0;15;0;0;20;4
2018-03-17T08:13:05.327Z;230645000;24.40547666666667;64.65389333333333;0.0;166.0;5;0;0;166;1
2018-03-17T08:13:02.895Z;230941690;21.449125;61.132355;0.0;287.9;5;0;0;511;0
2018-03-17T08:13:05.347Z;373437000;20.249283333333334;63.20265;13.9;36.0;0;0;0;35;1
2018-03-17T08:12:23.647Z;246824000;20.865551666666665;63.556725;4.9;48.7;0;0;0;57;18
2018-03-17T08:13:05.991Z;305476000;19.661085;62.814679999999996;9.0;49.1;0;0;0;49;3
2018-03-17T08:12:59.799Z;230245000;21.526419999999998;63.739439999999995;8.0;228.0;3;0;0;228;55
2018-03-17T08:13:02.900Z;265088000;21.671125;64.66140833333333;0.8;88.0;0;0;0;104;59
2018-03-17T08:13:05.333Z;230071310;27.69696;62.891785;0.0;263.4;0;0;0;511;4
2018-03-17T08:12:52.472Z;230995660;23.019048333333334;63.8444;0.0;213.8;5;0;0;111;49
2018-03-17T08:13:02.048Z;230987160;24.40666666666667;64.66666666666667;0.0;67.0;15;0;0;94;57
2018-03-17T08:12:59.789Z;230109170;23.02534166666667;63.84204;0.1;177.1;0;0;0;511;54
2018-03-17T08:12:59.825Z;266450000;23.364448333333332;65.76543166666667;0.3;262.8;15;0;0;230;57
2018-03-17T08:13:05.998Z;230916000;22.840041666666664;64.48283166666667;8.0;31.0;0;0;0;30;2
2018-03-17T08:13:05.326Z;230011590;24.557243333333336;65.04055166666667;0.0;172.0;0;0;0;353;3
2018-03-17T08:13:05.357Z;230081290;21.44480666666667;61.126575;0.0;6.8;0;0;0;5;4
2018-03-17T08:12:09.731Z;230325000;28.945333333333334;61.843833333333336;0.0;278.0;5;0;0;274;6
2018-03-17T08:13:02.910Z;230956000;22.82953666666667;64.47531333333333;10.9;23.8;0;0;0;24;1
2018-03-17T08:12:37.786Z;230109450;24.513796666666668;65.66479333333334;0.0;184.3;5;0;0;224;35
2018-03-17T08:12:55.676Z;230941170;21.447368333333333;61.130644999999994;0.0;0.0;3;0;0;511;51
2018-03-17T08:13:02.054Z;230636000;21.113201666666665;63.137903333333334;12.5;320.0;0;0;0;321;58
2018-03-17T08:12:59.845Z;230988890;23.024966666666668;63.84193333333334;0.0;259.1;0;0;0;237;56
2018-03-17T08:13:05.996Z;230251000;23.848138333333335;65.17882166666666;0.1;65.2;2;0;0;182;56
2018-03-17T08:13:02.932Z;230025470;21.571768333333335;63.08156333333333;0.0;24.8;0;0;0;511;1
